species,longitude,latitude
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,9.93,3.02
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,12.81,3.19
Phrynobatrachus auritus,8.3,3.22
Phrynobatrachus auritus,8.3,3.22
Phrynobatrachus auritus,8.63,3.25
Phrynobatrachus auritus,8.64,3.29
Phrynobatrachus auritus,8.52,3.29
Phrynobatrachus auritus,8.52,3.29
Phrynobatrachus auritus,8.52,3.29
Phrynobatrachus auritus,8.52,3.29
Phrynobatrachus auritus,8.52,3.29
Phrynobatrachus auritus,8.52,3.29
Phrynobatrachus auritus,8.52,3.29
Phrynobatrachus auritus,8.67,3.32
Phrynobatrachus auritus,8.67,3.32
Phrynobatrachus auritus,24.02,3.33
Phrynobatrachus auritus,24.02,3.33
Phrynobatrachus auritus,24.02,3.33
Phrynobatrachus auritus,8.48,3.33
Phrynobatrachus auritus,8.48,3.33
Phrynobatrachus auritus,8.48,3.33
Phrynobatrachus auritus,8.48,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.33
Phrynobatrachus auritus,8.67,3.35
Phrynobatrachus auritus,8.67,3.35
Phrynobatrachus auritus,8.67,3.35
Phrynobatrachus auritus,8.67,3.35
Phrynobatrachus auritus,8.67,3.35
Phrynobatrachus auritus,8.67,3.35
Phrynobatrachus auritus,8.67,3.36
Phrynobatrachus auritus,8.67,3.36
Phrynobatrachus auritus,8.5,3.37
Phrynobatrachus auritus,8.5,3.37
Phrynobatrachus auritus,8.5,3.37
Phrynobatrachus auritus,8.66,3.37
Phrynobatrachus auritus,8.66,3.37
Phrynobatrachus auritus,8.64,3.47
Phrynobatrachus auritus,8.64,3.47
Phrynobatrachus auritus,8.64,3.47
Phrynobatrachus auritus,8.82,3.52
Phrynobatrachus auritus,10.28,3.82
Phrynobatrachus auritus,9.07,4.05
Phrynobatrachus auritus,9.07,4.33
Phrynobatrachus auritus,9.07,4.33
Phrynobatrachus auritus,9.07,4.33
Phrynobatrachus auritus,9.77,4.81
Phrynobatrachus auritus,9.77,4.81
Phrynobatrachus auritus,9.77,4.81
Phrynobatrachus auritus,9.77,4.81
Phrynobatrachus auritus,9.77,4.81
Phrynobatrachus auritus,9.77,4.81
Phrynobatrachus auritus,9.77,4.81
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,9.93,4.83
Phrynobatrachus auritus,8.85,5.02
Phrynobatrachus auritus,8.83,5.05
Phrynobatrachus auritus,8.86,5.07
Phrynobatrachus auritus,8.86,5.12
Phrynobatrachus auritus,8.86,5.12
Phrynobatrachus auritus,9.61,5.26
Phrynobatrachus auritus,-0.83,6.08
Phrynobatrachus auritus,-0.83,6.08
Phrynobatrachus auritus,-0.83,6.08
Phrynobatrachus auritus,-0.83,6.08
Phrynobatrachus auritus,10.08,6.22
Phrynobatrachus auritus,10.08,6.22
Phrynobatrachus auritus,10.08,6.22
Phrynobatrachus auritus,9.36,6.43
Phrynobatrachus auritus,9.36,6.43
Phrynobatrachus auritus,9.36,6.43
Phrynobatrachus auritus,9.36,6.43
Phrynobatrachus auritus,9.36,6.43
Phrynobatrachus auritus,9.36,6.43
Phrynobatrachus auritus,9.36,6.43
Phrynobatrachus auritus,9.36,6.43
Phrynobatrachus auritus,10.22,2.4
Phrynobatrachus auritus,10.23,2.4
Phrynobatrachus auritus,10.23,2.4
Phrynobatrachus auritus,10.23,2.39
Phrynobatrachus auritus,10.24,2.38
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.41
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.21,2.51
Phrynobatrachus auritus,10.25,4.6
Phrynobatrachus auritus,10.48,4.58
Phrynobatrachus auritus,10.25,4.6
Phrynobatrachus auritus,10.25,4.6
Phrynobatrachus auritus,10.49,4.56
Phrynobatrachus auritus,10.24,4.56
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.56
Phrynobatrachus auritus,10.24,4.56
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.25,4.56
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.25,4.58
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,10.61,-3.2
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.48,-3.1
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.97,-2
Phrynobatrachus auritus,13.96,-1.99
Phrynobatrachus auritus,13.97,-2.01
Phrynobatrachus auritus,13.96,-2.02
Phrynobatrachus auritus,13.94,-2.01
Phrynobatrachus auritus,13.94,-2.01
Phrynobatrachus auritus,13.96,-1.99
Phrynobatrachus auritus,13.96,-2.03
Phrynobatrachus auritus,13.95,-2.03
Phrynobatrachus auritus,13.94,-2.04
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.91,-0.58
Phrynobatrachus auritus,11.9,-0.6
Phrynobatrachus auritus,11.86,-0.55
Phrynobatrachus auritus,11.91,-0.62
Phrynobatrachus auritus,11.9,-0.61
Phrynobatrachus auritus,11.9,-0.6
Phrynobatrachus auritus,11.9,-0.59
Phrynobatrachus auritus,11.91,-0.58
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.89,-0.56
Phrynobatrachus auritus,11.9,-0.6
Phrynobatrachus auritus,11.91,-0.59
Phrynobatrachus auritus,11.87,-0.56
Phrynobatrachus auritus,10.7,0.87
Phrynobatrachus auritus,10.71,0.87
Phrynobatrachus auritus,10.68,1.08
Phrynobatrachus auritus,10.67,1.07
Phrynobatrachus auritus,10.67,1.07
Phrynobatrachus auritus,10.68,1.08
Phrynobatrachus auritus,10.7,1.08
Phrynobatrachus auritus,10.7,1.09
Phrynobatrachus auritus,10.7,1.08
Phrynobatrachus auritus,10.68,1.05
Phrynobatrachus auritus,10.68,1.05
Phrynobatrachus auritus,10.69,1.04
Phrynobatrachus auritus,10.69,1.04
Phrynobatrachus auritus,10.69,1.04
Phrynobatrachus auritus,10.69,1.03
Phrynobatrachus auritus,10.71,1.03
Phrynobatrachus auritus,10.69,1.08
Phrynobatrachus auritus,10.69,1.08
Phrynobatrachus auritus,10.69,1.08
Phrynobatrachus auritus,10.7,1.09
Phrynobatrachus auritus,10.67,1.07
Phrynobatrachus auritus,10.66,1.09
Phrynobatrachus auritus,12.95,1.23
Phrynobatrachus auritus,12.92,1.24
Phrynobatrachus auritus,12.95,1.21
Phrynobatrachus auritus,12.94,1.21
Phrynobatrachus auritus,12.94,1.21
Phrynobatrachus auritus,12.95,1.21
Phrynobatrachus auritus,12.94,1.21
Phrynobatrachus auritus,12.94,1.22
Phrynobatrachus auritus,12.94,1.21
Phrynobatrachus auritus,12.94,1.21
Phrynobatrachus auritus,12.95,1.23
Phrynobatrachus auritus,12.94,1.22
Phrynobatrachus auritus,12.94,1.22
Phrynobatrachus auritus,12.94,1.21
Phrynobatrachus auritus,12.94,1.21
Phrynobatrachus auritus,12.94,1.2
Phrynobatrachus auritus,12.94,1.18
Phrynobatrachus auritus,12.94,1.2
Phrynobatrachus auritus,12.94,1.23
Phrynobatrachus auritus,12.95,1.22
Phrynobatrachus auritus,12.94,1.21
Phrynobatrachus auritus,12.93,1.2
Phrynobatrachus auritus,12.93,1.19
Phrynobatrachus auritus,12.93,1.2
Phrynobatrachus auritus,12.93,1.23
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,10.87,4.84
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13
Phrynobatrachus auritus,9.21,6.13